Outlet,YEARWK,Temp,Gas_price_in_dollars,Consumer_price_Index,UnEmployment_rate
1,201006,43.36,2.662,212.0963582,7.606
1,201007,39.56,2.638,212.2421698,7.606
1,201008,40.98,2.604,212.2891429,7.606
1,201009,47.68,2.651,212.3196429,7.606
1,201010,47.55,2.715,212.3501429,7.606
1,201011,58.84,2.757,212.3806429,7.606
1,201012,55.63,2.81,212.215635,7.606
1,201013,52.5,2.822,212.0180424,7.606
1,201014,63.32,2.809,211.8204499,7.308
1,201015,66.91,2.86,211.6228574,7.308
1,201016,67.37,2.898,211.4887,7.308
1,201017,65.89,2.885,211.4391228,7.308
1,201018,68.46,2.87,211.3895456,7.308
1,201019,73.6,2.925,211.3399684,7.308
1,201020,75.83,2.944,211.3374261,7.308
1,201021,77.49,2.916,211.6170934,7.308
1,201022,81.49,2.849,211.8967606,7.308
1,201023,81.74,2.795,212.1764278,7.308
1,201024,81.48,2.758,212.4560951,7.308
1,201025,85.16,2.727,212.4537719,7.308
1,201026,85.39,2.743,212.3386526,7.308
1,201027,81.96,2.759,212.2235333,7.287
1,201028,81.53,2.732,212.108414,7.287
1,201029,84.2,2.713,212.1003854,7.287
1,201030,84.41,2.698,212.2351443,7.287
1,201031,82.89,2.73,212.3699032,7.287
1,201032,88.21,2.717,212.5046621,7.287
1,201033,88.05,2.782,212.6394211,7.287
1,201034,87.7,2.754,212.6033633,7.287
1,201035,86.27,2.709,212.5673056,7.287
1,201036,82.26,2.667,212.5312479,7.287
1,201037,79.74,2.655,212.4951902,7.287
1,201038,83.16,2.672,212.5224596,7.287
1,201039,81.99,2.714,212.5972246,7.287
1,201040,72.94,2.693,212.6719895,7.338
1,201041,64.98,2.723,212.7467544,7.338
1,201042,68.23,2.81,212.8137436,7.338
1,201043,70.91,2.815,212.8612937,7.338
1,201044,70.69,2.806,212.9088438,7.338
1,201045,59.79,2.779,212.9563939,7.338
1,201046,60.66,2.818,213.003944,7.338
1,201047,52.46,2.861,212.8896737,7.338
1,201048,65.57,2.825,212.7484333,7.338
1,201049,50.32,2.798,212.607193,7.338
1,201050,47.38,2.933,212.4659526,7.338
1,201051,50.89,2.959,212.4053124,7.338
1,201052,53.38,2.976,212.4051222,7.338
1,201101,49.48,3.033,212.4049321,7.338
1,201102,49.32,3.066,212.4047419,7.242
1,201103,36.45,3.073,212.4574109,7.242
1,201104,45.09,3.106,212.8272343,7.242
1,201105,44.88,3.1,213.1970577,7.242
1,201106,43.32,3.079,213.5668812,7.242
1,201107,37.44,3.112,213.9367046,7.242
1,201108,58.41,3.135,214.2478853,7.242
1,201109,63.95,3.155,214.535609,7.242
1,201110,60.63,3.378,214.8233327,7.242
1,201111,54.61,3.549,215.1110564,7.242
1,201112,63.81,3.578,215.3627114,7.242
1,201113,71.02,3.563,215.5999389,7.242
1,201114,60.22,3.614,215.8371664,7.182
1,201115,68.89,3.712,216.0743939,7.182
1,201116,72.32,3.833,216.2918561,7.182
1,201117,74.04,3.897,216.4599053,7.182
1,201118,73.08,3.9,216.6279544,7.182
1,201119,65.66,3.996,216.7960035,7.182
1,201120,76.69,3.989,216.9640526,7.182
1,201121,68.68,3.997,216.7339202,7.182
1,201122,78.77,3.876,216.5037878,7.182
1,201123,84.05,3.789,216.2736553,7.182
1,201124,84.18,3.738,216.0435229,7.182
1,201125,87.46,3.727,215.9980596,7.182
1,201126,84.63,3.684,216.0910982,7.182
1,201127,86.6,3.614,216.1841368,7.462
1,201128,86.88,3.57,216.2771754,7.462
1,201129,89.59,3.665,216.3611087,7.462
1,201130,86.82,3.741,216.4222784,7.462
1,201131,87.88,3.772,216.4834482,7.462
1,201132,92.7,3.774,216.544618,7.462
1,201133,91.81,3.728,216.6057878,7.462
1,201134,90.99,3.644,216.6693107,7.462
1,201135,89.01,3.613,216.7332258,7.462
1,201136,88.88,3.623,216.7971409,7.462
1,201137,77.05,3.636,216.861056,7.462
1,201138,80.99,3.616,217.0410526,7.462
1,201139,76.85,3.557,217.3758246,7.462
1,201140,80.74,3.445,217.7105965,7.462
1,201141,70.36,3.375,218.0453684,7.366
1,201142,72.79,3.364,218.3552733,7.366
1,201143,64.76,3.443,218.5159762,7.366
1,201144,67.62,3.462,218.6766791,7.366
1,201145,56.03,3.422,218.837382,7.366
1,201146,60.16,3.387,218.9980849,7.366
1,201147,63.3,3.398,219.2205088,7.366
1,201148,61.19,3.326,219.4676211,7.366
1,201149,49.96,3.262,219.7147333,7.366
1,201150,44.98,3.248,219.9618456,7.366
1,201151,52.68,3.249,220.1794533,7.366
1,201152,49.01,3.202,220.3577216,7.366
1,201153,45.6,3.219,220.5359898,7.366
1,201201,50.06,3.247,220.7142581,6.848
1,201202,49.58,3.351,220.8925263,6.848
1,201203,55.16,3.358,220.9856893,6.848
1,201204,55.31,3.38,221.0788523,6.848
1,201205,57.6,3.45,221.1720153,6.848
1,201206,49.07,3.499,221.2651783,6.848
1,201207,46.37,3.6,221.4257586,6.848
1,201208,58.3,3.645,221.636902,6.848
1,201209,62.01,3.72,221.8480454,6.848
1,201210,59.81,3.759,222.0591887,6.848
1,201211,65.79,3.824,222.2118132,6.848
1,201212,66.98,3.877,222.2864126,6.848
1,201213,68.66,3.935,222.3610119,6.848
1,201214,71.48,3.981,222.4356112,6.643
1,201215,70.12,3.981,222.5102105,6.643
1,201216,67.81,3.967,222.5640737,6.643
1,201217,68.28,3.904,222.6179368,6.643
1,201218,76.6,3.839,222.6718,6.643
1,201219,74.82,3.778,222.7256632,6.643
1,201220,71.38,3.72,222.742674,6.643
1,201221,78.27,3.651,222.744944,6.643
1,201222,79,3.591,222.7472139,6.643
1,201223,79.35,3.542,222.7494839,6.643
1,201224,80.4,3.483,222.7626421,6.643
1,201225,79.44,3.436,222.8030211,6.643
