Outlet,Outlet_Type,Floor_Size
1,A,302630
2,A,404614
3,B,74784
4,A,411726
5,B,69750
6,A,405010
7,B,141426
8,A,310156
9,B,251666
10,B,253024
11,A,414998
12,B,224476
13,A,439244
14,A,401796
15,B,247474
16,B,114394
17,B,186376
18,B,241306
19,A,407638
20,A,407484
21,B,280334
22,B,239114
23,B,229066
24,A,407638
25,B,256214
26,A,305026
27,A,408368
28,A,412604
29,B,187276
30,C,85976
31,A,407500
32,A,406014
33,A,79380
34,A,316228
35,B,207362
36,A,79820
37,C,79820
38,C,79380
39,A,368218
40,A,310166
41,A,392642
42,C,79380
43,C,82124
44,C,79820
45,B,236442
